Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Specialty Med,129801.71,211554,2697,830,0.6136537519,48.128183166,156.38760241,0,113640.06,185722,2367,770,0.6115844818,48.010164766,147.58449351,0,128472.36,210257,2613,796,0.6111320579,49.166613088,161.39743719,0,110876.46,180992,2224,690,0.6128253293,49.854523381,160.69052174,0,77053.89,126366,1505,531,0.6097668629,51.198598007,145.11090395,0,-0.004990764,-0.001587278
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Select Brand,2293.31,9980,133,43,0.2297905812,17.242932331,53.332790698,0,2899.29,12830,174,48,0.2261426114,16.662586207,60.401875,0,2543.85,11550,146,41,0.2202467532,17.423630137,62.045121951,0,1254.72,5650,71,22,0.2220743363,17.672112676,57.032727273,0,1168.96,5280,62,21,0.2213939394,18.854193548,55.664761905,0,-0.003063825,-0.009263014
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Sam'S West Inc,22968.89,203560,1378,735,0.1128324411,16.668280116,31.250190476,0,32622.1,268480,1815,721,0.1214406629,17.973608815,45.245631068,0,25612.36,213360,1423,573,0.1200427456,17.998847505,44.698708551,0,23153.47,192543,1210,501,0.1202583813,19.135099174,46.214510978,0,20340.09,169080,1029,435,0.1203104205,19.766851312,46.758827586,0,0.0004327281,0.0161722133
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Rite Aid-Bd,7712.64,45392,497,190,0.1701613622,15.518390342,40.592842105,0,4811.85,28834,303,127,0.1668332978,15.880693069,37.888582677,0,4037.74,23639,273,119,0.1708798658,14.79025641,33.930588235,0,2639.07,15770,179,81,0.1675403984,14.743407821,32.581111111,0,1692.08,10082,116,60,0.168229986,14.586896552,28.201333333,0,0.0041159487,-0.002849724
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Perrigo Diabete,38147.96,246200,2947,1130,0.1548859712,12.944675942,33.759256637,0,29348.94,182003,2325,818,0.161056478,12.6232,35.878899756,0,27333.74,167547,2285,746,0.1625935605,11.962249453,36.640402145,0,26406.97,158736,2150,687,0.1660164053,12.282311628,38.438093159,0,20687.51,124710.333,1662,534,0.1659591659,12.447358604,38.740655431,0,-0.000344782,0.0174130175
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Global Diabetic,1252172.46,2170664.333,19445,6171,0.5769983654,64.395600926,202.91240642,0,1228016.26,2131447.333,18683,6048,0.5754620724,65.729072419,203.04501653,0,1103077.57,1914245.333,16899,5399,0.5743672466,65.27472454,204.31145953,0,763847.69,1320789.576,11731,3838,0.5757683538,65.113604126,199.02232673,0,582308.64,989650,8680,2970,0.5861118467,67.086248848,196.06351515,0,0.0179646777,0.0039254852
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Exel Int'L Inc.,1037.4,6582,69,25,0.1561488224,15.034782609,41.496,1,609.12,4016,38,24,0.1540242635,16.029473684,25.38,1,385.82,2115,24,11,0.1840333333,16.075833333,35.074545455,1,553.8,2932,39,19,0.18930672,14.2,29.147368421,1,559.33,3100,24,15,0.1796607416,23.305416667,37.288666667,1,-0.050954232,0.0356872233
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Dynarex Corp.,742.31,6748,60,50,0.1113526341,12.371833333,14.8462,0,804.12,6915,94,73,0.1169680568,8.5544680851,11.015342466,0,1649.41,14164,238,161,0.1172065873,6.9302941176,10.244782609,0,1906.84,16452,264,180,0.1184781063,7.2228787879,10.593555556,0,2354.95,19917,244,154,0.1191813211,9.6514344262,15.291883117,0,0.0059353986,0.0171310799
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Dinorio Medical,295.63,1450,12,,0.2038827586,24.635833333,,1,791.83,4057,44,23,0.1979815542,17.996136364,34.427391304,0,1298.3,6370,79,24,0.2038373509,16.434177215,54.095833333,0,1992.08,9828,126,43,0.202700831,15.81015873,46.32744186,0,2527.7,12960,143,59,0.1950359884,17.676223776,42.842372881,0,-0.037813573,-0.011028984
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Becton Dickinso,34144.08,118035,1232,618,0.2858498618,27.714350649,55.249320388,0,27151.47,97264,1249,519,0.2757060433,21.738566853,52.314971098,0,20757.85,75895,1040,408,0.2725127905,19.959471154,50.877083333,0,20704.5,75003,1075,431,0.2751505797,19.26,48.038283063,0,18522.6,66574,950,363,0.2776177867,19.497473684,51.026446281,0,0.008966752,-0.007278734
